Date,Fighter 1,Fighter 2,Winner,Method of Victory ,Weight Class,Venue,Title Fight,Main Event,Time Elapsed,F1 TDA,F1 TDL,F1 Control Time,F2 TDA,F2 TDL,F2 Control Time,F1 Total Strikes,F1 Sig Strikes,F1 Head Strike,F1 Body Strike,F1 Leg Strike,F2 Total Strikes,F2 Sig Strikes,F2 Head Strike,F2 Body Strike,F2 Leg Strike,F1 KD,F2 KD,Submission,KO/TKO,Finish,Decision,Stand Up,Late Sub,Late KO,Last Second Finish,F1 Control Proportion,F2 Control Proportion,F1 Sig Strike/Min,F2 Strike/Min,F2 Sig Strike/Min,F1 TDA/Min,F2 TDA/Min,F1 Strike/KD,F2 Strike/KD,F1 KD/Min,F2 KD/Min,F2 KD/Sec
4/15/2023,Max Holloway,Arnold Allen,F1,UD,FW,"KC, MO",0,1,1500,0,0,3,0,0,42,264,147,77,42,28,229,76,48,18,10,0,0,0,0,0,1,1,0,0,0,0,0.03,10.56,5.88,9.18,3.06,0,0,0,0,0,0
4/15/2023,Edson Barboza,Billy Quarantillo,F1,KO/TKO,FW,"KC, MO",0,0,97,0,0,2,2,0,39,33,21,13,5,3,43,19,16,1,2,1,0,0,1,1,0,1,0,0,0,0.02,0.4,20.4,12.96,26.58,11.76,0,1.26,1.8,0,0.6,0
4/15/2023,Dustin Jacoby,Azamat Murzakanov,F2,UD,LHW,"KC, MO",0,0,900,6,1,186,5,1,16,167,64,36,8,20,130,67,51,12,4,0,1,0,0,0,1,0,0,0,0,0.21,0.02,11.16,4.26,8.64,4.44,0.42,0.36,0,0.48,0,0
4/15/2023,Tanner Boser,Ion Cutelaba,F2,KO/TKO,LHW,"KC, MO",0,0,125,0,0,0,1,1,17,16,5,5,0,0,40,30,27,2,1,0,0,0,1,1,0,0,0,0,0,0,0.14,7.68,2.4,19.2,14.4,0,0.48,0,0,0,0
4/15/2023,Pedro Munhoz,Chris Gutierrez,F1,UD,BW,"KC, MO",0,0,900,1,0,174,0,0,6,188,60,20,6,34,135,77,30,8,39,1,0,0,0,0,1,1,0,0,0,0.19,0.01,12.54,4.02,9,5.16,0.06,0,0.3,0,0.06,0
4/15/2023,Clay Guida,Rafa Garcia,F2,UD,LW,"KC, MO",0,0,900,3,0,0,1,0,20,252,63,49,4,10,289,141,130,5,6,0,0,0,0,0,1,1,0,0,0,0,0.02,16.8,4.2,19.26,9.42,0.18,0.06,0,0,0,0
4/15/2023,Bill Algeo,TJ Brown,F1,RNC,FW,"KC, MO",0,0,400,1,1,102,2,1,39,123,64,44,6,14,94,46,34,8,4,1,0,1,0,1,0,0,0,0,0,0.26,0.1,18.48,9.6,14.1,6.9,0.18,0.3,0.48,0,0.18,0
4/15/2023,Brandon Royval,Matheus Nicolau,F1,KO/TKO,FLW,"KC, MO",0,0,129,0,0,7,0,0,0,22,13,13,0,0,5,2,1,0,1,1,0,0,1,1,0,1,0,0,0,0.05,0,10.26,6.06,2.34,0.96,0,0,2.7,0,0.48,0
4/15/2023,Zak Cummings,Ed Herman,F1,KO/TKO,LHW,"KC, MO",0,0,853,0,0,198,1,0,0,189,100,69,15,16,141,54,34,5,15,3,0,0,1,1,0,1,0,1,0,0.23,0,13.32,7.02,9.9,3.78,0,0.06,0.96,0,0.24,0
4/15/2023,Lando Vannata,Daniel Zellhuber,F2,UD,LW,"KC, MO",0,0,900,3,0,6,1,0,104,91,51,20,12,19,225,78,67,7,4,0,1,0,0,0,1,1,0,0,0,0.01,0.12,6.06,3.42,15,5.22,0.18,0.06,0,0.24,0,0
4/15/2023,Aaron Phillips,Gaston Bolanos,F2,UD,BW,"KC, MO",0,0,900,4,1,361,0,0,96,104,17,7,9,1,135,63,32,7,24,0,0,0,0,0,1,0,0,0,0,0.4,0.11,6.96,1.14,9,4.2,0.24,0,0,0,0,0
4/8/2023,Alex Pereira,Israel Adesanya,F2,KO/TKO,MW,"Miami, FL",1,1,561,0,0,0,0,0,3,85,49,8,15,26,96,41,18,14,9,0,1,0,1,1,0,1,0,0,0,0,0.01,9.12,5.22,10.26,4.38,0,0,0,0.6,0,0
4/8/2023,Gilbert Burns,Jorge Masvidal,F1,UD,WW,"Miami, FL",0,0,900,6,4,341,0,0,5,135,42,34,3,5,130,39,14,8,17,0,0,0,0,0,1,0,0,0,0,0.38,0.01,9,2.82,8.64,2.58,0.42,0,0,0,0,0
4/8/2023,Rob Font,Adrian Yanez,F1,KO/TKO,BW,"Miami, FL",0,0,177,1,0,4,0,0,0,75,33,30,2,1,54,25,21,1,3,1,0,0,1,1,0,1,0,0,0,0.02,0,25.44,11.16,18.3,8.46,0.36,0,0.78,0,0.36,0
4/8/2023,Kevin Holland,Santiago Ponzinibbio,F1,KO/TKO,WW,"Miami, FL",0,0,796,0,0,3,0,0,7,198,66,24,11,31,104,44,12,7,25,1,0,0,1,1,0,1,0,1,0,0,0.01,14.94,4.98,7.86,3.3,0,0,0.3,0,0.06,0
4/8/2023,Raul Rosas,Christian Rodriguez,F2,UD,BW,"Miami, FL",0,0,900,16,3,290,1,1,450,19,2,2,0,0,115,29,26,3,0,0,0,0,0,0,1,0,0,0,0,0.32,0.5,1.26,0.12,7.68,1.92,1.08,0.06,0,0,0,0
4/8/2023,Chris Curtis,Kelvin Gastelum,F2,UD,MW,"Miami, FL",0,0,900,0,0,1,3,0,81,216,70,44,21,5,195,83,63,5,15,0,0,0,0,0,1,1,0,0,0,0,0.09,14.4,4.68,13.02,5.52,0,0.18,0,0,0,0
4/8/2023,Gerald Meerschaert,Joe Pyfer,F2,KO/TKO,MW,"Miami, FL",0,0,195,0,0,0,0,0,16,21,10,1,2,7,24,14,6,8,0,0,0,0,1,1,0,1,0,0,0,0,0.08,6.48,3.06,7.38,4.32,0,0,0,0,0,0
4/8/2023,Ignacio Bahamondes,Trey Ogden,F1,UD,LW,"Miami, FL",0,0,900,0,0,0,1,0,0,200,99,28,30,41,109,42,24,10,8,0,0,0,0,0,1,1,0,0,0,0,0,13.32,6.6,7.26,2.82,0,0.06,0,0,0,0
4/8/2023,Shayilan Nuerdanbieke,Steve Garcia,F2,KO/TKO,FW,"Miami, FL",0,0,336,2,1,214,0,0,15,63,18,15,3,0,77,17,14,3,0,1,1,0,1,1,0,0,0,0,0,0.64,0.05,11.28,3.24,13.74,3.06,0.36,0,0.96,0.78,0.18,0
3/25/2023,Marlon Vera,Cory Sandhagen,F2,SD,BW,"San Antonio, TX",0,1,1500,1,0,9,12,3,428,177,58,28,13,17,378,128,84,16,28,0,0,0,0,0,1,0,0,0,0,0.01,0.29,7.08,2.34,15.12,5.1,0.06,0.48,0,0,0,0
3/25/2023,Nate Landwehr,Austin Lingo ,F1,RNC,FW,"San Antonio, TX",0,0,551,2,1,24,0,0,0,160,64,36,9,19,148,48,28,17,3,0,0,1,0,1,0,0,0,0,0,0.04,0,17.4,6.96,16.14,5.22,0.24,0,0,0,0,0
3/25/2023,Chidi Njokuani,Albert Duraev,F2,SD,MW,"San Antonio, TX",0,0,900,0,0,0,3,2,242,104,40,18,15,7,159,45,21,2,22,0,0,0,0,0,1,0,0,0,0,0,0.27,6.96,2.64,10.62,3,0,0.18,0,0,0,0
3/25/2023,Daniel Pineda,Tucker Lutz,F1,Guillotine,FW,"San Antonio, TX",0,0,470,2,1,140,4,0,87,66,24,10,4,10,84,28,17,8,3,1,0,1,0,1,0,0,0,0,0,0.3,0.19,8.4,3.06,10.74,3.6,0.24,0.54,0.9,0,0.12,0
3/25/2023,Steven Peterson,Lucas Alexander,F2,UD,FW,"San Antonio, TX",0,0,900,4,0,31,0,0,55,102,26,8,9,9,159,85,43,20,22,0,1,0,0,0,1,1,0,0,0,0.03,0.06,6.78,1.74,10.62,5.64,0.24,0,0,0.36,0,0
3/25/2023,Trevin Giles,Preston Parsons,F1,SD,WW,"San Antonio, TX",0,0,900,1,0,254,11,3,316,129,55,51,4,0,130,42,24,6,12,0,0,0,0,0,1,0,0,0,0,0.28,0.35,8.58,3.66,8.64,2.82,0.06,0.72,0,0,0,0
3/25/2023,CJ Vegara,Daniel Lacerda,F1,KO/TKO,FLW,"San Antonio, TX",0,0,544,0,0,174,2,1,40,164,83,57,16,10,120,48,32,11,5,0,2,0,1,1,0,0,0,0,0,0.32,0.07,18.06,9.18,13.26,5.28,0,0.24,0,1.02,0,0
3/25/2023,Victor Altamirano,Vinicius Salvador,F1,UD,FLW,"San Antonio, TX",0,0,900,22,3,304,6,1,21,171,62,28,14,20,168,47,26,15,6,0,0,0,0,0,1,0,0,0,0,0.34,0.02,11.4,4.14,11.22,3.12,1.44,0.42,0,0,0,0
3/18/2023,Leon Edwards,Kamaru Usman,F1,MD,WW,"London, England",1,1,1500,1,0,0,15,4,303,164,120,34,36,50,232,87,57,24,6,0,0,0,0,0,1,0,0,0,0,0,0.2,6.54,4.8,9.3,3.48,0.06,0.6,0,0,0,0
3/18/2023,Justin Gaethje,Rafael Fiziev,F1,MD,LW,"London, England",0,0,900,3,1,5,0,0,0,174,103,81,14,8,169,97,38,52,7,0,0,0,0,0,1,0,0,0,0,0.01,0,11.58,6.84,11.28,6.48,0.18,0,0,0,0,0
3/18/2023,Gunnar Nelson,Bryan Barbarena,F1,Armbar,WW,"London, England",0,0,291,2,1,193,0,0,0,21,10,8,2,0,23,7,3,0,4,0,0,1,0,1,0,0,0,0,0,0.66,0,4.32,2.04,4.74,1.44,0.42,0,0,0,0,0
3/18/2023,Marvin Vettori,Roman Dolidze ,F1,UD,MW,"London, England",0,0,900,0,0,0,1,0,14,218,106,60,8,38,192,71,52,11,8,0,0,0,0,0,1,1,0,0,0,0,0.02,14.52,7.08,12.78,4.74,0,0.06,0,0,0,0
3/18/2023,Jack Shore,Makwan Amirkhani,F1,RNC,FW,"London, England",0,0,567,1,1,135,3,1,211,64,28,23,4,1,28,10,6,4,0,0,0,1,0,1,0,0,0,0,0,0.24,0.37,6.78,2.94,2.94,1.08,0.12,0.3,0,0,0,0
3/18/2023,Chris Duncan ,Omar Morales,F1,SD,LW,"London, England",0,0,900,14,5,391,0,0,2,92,53,12,17,24,86,47,32,5,10,0,0,0,0,0,1,0,0,0,0,0.43,0,6.12,3.54,5.76,3.12,0.96,0,0,0,0,0
3/18/2023,Sam Patterson,Yanal Ashmoz,F2,KO/TKO,LW,"London, England",0,0,75,0,0,0,1,1,7,7,2,1,0,1,20,15,14,0,1,0,0,0,1,1,0,0,0,0,0,0,0.09,5.58,1.62,16.02,12,0,0.78,0,0,0,0
3/18/2023,Muhammad Mokaev,Jafael Filho ,F1,RNC,FLW,"London, England",0,0,872,8,4,495,0,0,50,104,16,4,8,4,87,9,1,2,6,0,0,1,0,1,0,0,1,0,1,0.57,0.06,7.14,1.08,6,0.6,0.54,0,0,0,0,0
3/18/2023,Lerone Murphy,Gabriel Santos,F1,SD,FW,"London, England",0,0,900,2,1,138,11,5,240,183,93,59,27,7,141,69,32,24,13,0,0,0,0,0,1,0,0,0,0,0.15,0.27,12.18,6.18,9.42,4.62,0.12,0.72,0,0,0,0
