Name,Weight Class,Total Fights,Strikes Thrown Per Minute Difference,Sig Strikes Per Minute Difference,TDA Per Minute Difference,TDL Per Minute Difference,KD Per Minute Difference
Max Holloway,FW,4,6.723099999999999,5.1582,-0.1737,-0.07,-0.0191
Arnold Allen,FW,4,-1.6509,-0.6828000000000003,-0.1587,-0.058,0.0019000000000000024
Edson Barboza,FW,4,-1.8539000000000012,-0.09080000000000066,-0.2637,-0.1,0.030900000000000004
Billy Quarantillo,FW,4,11.028099999999998,4.9682,0.41530000000000006,0.025999999999999995,0.0059000000000000025
Dustin Jacoby,LHW,8,4.923500000000001,2.3253999999999992,-0.0875,-0.054099999999999995,-0.014199999999999999
Azamat Murzakanov,LHW,3,-0.8384999999999998,0.6044,0.05349999999999999,-0.031099999999999996,0.0568
Tanner Boser,HW,4,1.5610999999999997,-0.43120000000000047,-0.1823,-0.0749,0.0022000000000000006
Ion Cutelaba,LHW,6,0.9435000000000002,-0.034600000000000186,0.7545,0.45890000000000003,-0.0011999999999999997
Pedro Munhoz,BW,5,0.48799999999999955,0.5540000000000003,-0.2618,-0.0984,0.0026000000000000016
Chris Gutierrez,BW,5,-1.1660000000000004,1.0940000000000003,-0.2178,-0.0804,0.0286
Clay Guida,LW,6,2.259500000000001,-0.17720000000000002,0.17179999999999995,0.018500000000000003,-0.0222
Rafa Garcia,LW,6,1.9525000000000006,0.4307999999999996,0.19079999999999997,0.08850000000000001,-0.0222
Bill Algeo,FW,5,3.2241,0.9331999999999994,-0.12669999999999998,-0.032,-0.0020999999999999977
TJ Brown,FW,5,-0.17190000000000083,-0.47580000000000044,0.08829999999999999,0.08399999999999999,-0.0191
Brandon Royval,FLW,4,2.3991999999999987,-0.39359999999999973,-0.2463,-0.066,0.008299999999999998
Matheus Nicolau,FLW,5,-1.1278000000000006,-0.09759999999999991,-0.043300000000000005,-0.03,0.0263
Zak Cummings,LHW,1,3.6255000000000006,2.9403999999999995,-0.2435,-0.0851,0.1868
Ed Herman,LHW,2,-0.49549999999999983,-0.8416000000000006,-0.2095,-0.0851,-0.0242
Lando Vannata,FW,3,-2.5219000000000005,-0.05880000000000063,-0.10969999999999999,-0.03900000000000001,-0.0191
Daniel Zellhuber,LW,2,3.0205,0.24880000000000013,-0.2712,-0.1115,0.0108
Aaron Phillips,BW,1,-3.9800000000000004,-3.141,-0.023799999999999988,-0.0314,-0.0264
Gaston Bolanos,BW,1,-1.9130000000000003,-0.07399999999999984,-0.2908,-0.0984,-0.0264
Alex Pereira,MW,5,1.0960999999999999,1.2302999999999997,-0.2616,-0.0887,0.0215
Israel Adesanya,LHW,6,-0.8384999999999998,-0.31760000000000055,-0.2135,-0.0771,-0.0092
Gilbert Burns,WW,4,-1.8717999999999986,-1.6137999999999995,0.11439999999999997,0.0925,-0.0226
Jorge Masvidal,WW,3,-2.5837999999999983,-1.3377999999999997,-0.2426,-0.0865,-0.0226
Rob Font,BW,4,6.007999999999999,3.795000000000001,-0.14980000000000002,-0.047400000000000005,-0.0134
Adrian Yanez,BW,5,5.940000000000001,2.452,-0.2908,-0.0984,0.0756
Kevin Holland,MW,8,0.4590999999999994,-0.5777000000000001,-0.2006,-0.0767,0.0045000000000000005
Santiago Ponzinibbio,WW,6,4.823200000000002,2.5122,-0.0716,-0.055499999999999994,-0.006599999999999998
Raul Rosas,BW,2,-9.052,-3.992,0.7802,0.18359999999999999,-0.0264
Christian Rodriguez,FW,3,-4.559900000000001,-2.4558000000000004,-0.1167,-0.01200000000000001,-0.0191
Chris Curtis,MW,6,1.575099999999999,1.2903000000000002,-0.2796,-0.1067,0.0315
Kelvin Gastelum,MW,4,-0.4878999999999998,-0.6027,-0.004599999999999993,0.0813,-0.0155
Gerald Meerschaert,MW,6,-3.0619000000000005,-1.2167,0.1264,0.009300000000000003,0.0034999999999999996
Joe Pyfer,MW,2,-0.5349000000000004,-0.0956999999999999,-0.2796,-0.1067,0.12450000000000001
Ignacio Bahamondes,LW,4,6.942500000000001,3.7268,-0.23320000000000002,-0.1115,-0.004200000000000002
Trey Ogden,LW,3,-0.1905000000000001,-0.6621999999999999,0.006799999999999973,-0.0675,-0.0222
Shayilan Nuerdanbieke,FW,5,-1.4959000000000007,-2.0498000000000003,0.31629999999999997,0.093,0.038900000000000004
Steve Garcia,LW,4,4.7684999999999995,1.6327999999999996,0.02479999999999999,0.0855,0.24080000000000001
Marlon Vera,BW,5,-0.6440000000000001,0.6260000000000003,-0.25980000000000003,-0.0774,0.046599999999999996
Cory Sandhagen,BW,5,3.9819999999999993,1.1829999999999998,0.05519999999999997,-0.046400000000000004,-0.016399999999999998
Nate Landwehr,FW,3,5.934100000000001,2.1982,-0.0247,0.059,-0.0191
Austin Lingo ,FW,2,3.1990999999999996,1.5812,-0.18069999999999997,-0.059000000000000004,0.021900000000000003
Chidi Njokuani,MW,4,-2.3189,0.10829999999999984,-0.2796,-0.1067,0.0595
Albert Duraev,MW,3,1.9370999999999992,-0.8527,0.2454,0.018299999999999997,-0.0155
Daniel Pineda,FW,2,-1.6548999999999996,-1.4638000000000004,0.39830000000000004,-0.02600000000000001,0.0549
Tucker Lutz,FW,3,-2.3179,-0.5258000000000003,-0.0257,0.0059999999999999915,-0.0191
Steven Peterson,FW,3,0.08910000000000018,0.6242000000000001,-0.10769999999999999,-0.07800000000000001,-0.0191
Lucas Alexander,FW,2,-1.6149000000000004,0.7172000000000001,-0.2637,-0.1,0.0399
Trevin Giles,MW,5,-4.5159,-1.7616999999999998,-0.06460000000000002,-0.03470000000000001,-0.0155
Preston Parsons,WW,3,-0.8427999999999987,-0.1697999999999995,0.37939999999999996,0.1205,-0.0226
CJ Vegara,FLW,3,3.1221999999999994,1.5764000000000005,-0.2843,-0.104,-0.0297
Daniel Lacerda,FLW,4,1.4451999999999998,1.2274000000000003,-0.02729999999999999,-0.0010000000000000009,0.1243
Victor Altamirano,FLW,3,3.645199999999999,2.3084,0.4887,0.015,0.0002999999999999982
Vinicius Salvador,FLW,1,1.5911999999999988,-0.4725999999999999,0.11570000000000003,-0.03699999999999999,-0.0297
Leon Edwards,WW,4,-5.336799999999999,-0.8987999999999996,-0.09160000000000001,-0.023499999999999993,-0.0096
Kamaru Usman,WW,5,0.49820000000000064,0.06519999999999992,0.0884,0.04550000000000001,0.0324
Justin Gaethje,LW,3,1.935500000000001,3.1087999999999996,-0.21420000000000003,-0.0815,0.0378
Rafael Fiziev,LW,4,0.8755000000000006,1.2008,-0.2882,-0.1115,-0.006200000000000001
Gunnar Nelson,WW,2,-1.3087999999999997,-1.5937999999999994,0.009399999999999992,0.11550000000000002,-0.0226
Bryan Barbarena,WW,5,5.515200000000002,2.2312000000000003,-0.22760000000000002,-0.0865,-0.0226
Marvin Vettori,MW,5,1.0080999999999989,-0.08869999999999978,0.07239999999999996,0.04529999999999999,-0.0155
Roman Dolidze ,MW,4,-0.17490000000000094,-0.6267,-0.18760000000000002,-0.0837,0.0075
Jack Shore,BW,5,-3.0300000000000002,-0.3799999999999999,0.2182,0.0926,0.005600000000000001
Makwan Amirkhani,FW,5,-7.950900000000001,-3.2008,0.38930000000000003,0.252,-0.0191
Chris Duncan ,LW,1,-4.2795,-0.5512000000000001,0.6288,0.22150000000000003,-0.0222
Omar Morales,FW,4,-3.2769000000000004,-0.8768000000000002,-0.2207,-0.05700000000000001,-0.0191
Sam Patterson,LW,1,-4.8125,-2.4842,-0.3042,-0.1115,-0.0222
Yanal Ashmoz,LW,1,5.5875,7.9158,0.4958,0.6885,-0.0222
Muhammad Mokaev,FLW,4,-3.0878000000000005,-2.4706,0.6277,0.386,-0.007700000000000002
Jafael Filho ,FLW,1,-3.6228000000000007,-2.9866,-0.2843,-0.104,-0.0297
Lerone Murphy,FW,3,-1.927900000000001,-0.2168000000000001,-0.09369999999999998,-0.043000000000000003,0.008900000000000002
Gabriel Santos,FW,1,-1.6669,0.26819999999999933,0.4693,0.233,-0.0191
Chris Duncan,MW,1,0.01609999999999978,0.8182999999999998,-0.2796,-0.1067,-0.0155
Dusko Todorovic,MW,6,0.8990999999999989,0.05030000000000001,0.12839999999999996,-0.030700000000000005,-0.0155
Jake Hadley,FLW,2,-5.175800000000001,-2.4816,-0.2843,-0.104,0.032299999999999995
Malcom Gordon,FLW,4,-2.1598000000000006,-1.4365999999999999,0.12469999999999998,0.022000000000000006,-0.0297
Jai Herbert,LW,5,-0.8594999999999988,-1.3601999999999999,-0.2212,-0.0905,0.0188
Ludovit Klein,FW,4,-3.5339,-0.9648000000000003,-0.04669999999999999,0.0,-0.0020999999999999977
Petr Yan,BW,5,-2.537000000000001,-0.3370000000000002,-0.043800000000000006,0.0296,-0.008400000000000001
Merab Dvalishvili,BW,4,8.399000000000001,1.0659999999999998,0.7032,0.2116,-0.0264
Alexander Volkov,HW,5,1.0030999999999999,1.6787999999999998,-0.1823,-0.0749,0.0102
Alexander Romanov,HW,5,-1.1859000000000002,-0.7142000000000004,0.4387,0.2231,-0.0228
Nikita Krylov,LHW,5,3.1995000000000005,-0.06260000000000066,0.5055000000000001,0.19889999999999997,0.0278
Ryan Spann,LHW,5,-2.4325,-0.8416000000000006,0.08150000000000002,-0.0040999999999999925,0.1388
Said Nurmagomedov,BW,4,-2.558,-1.674,0.1382,0.002600000000000005,-0.0264
Jonathan Martinez,BW,6,-1.064,0.6760000000000002,-0.2388,-0.0724,0.0126
Mario Bautista,BW,5,-0.35100000000000087,0.37099999999999955,0.12319999999999998,0.21960000000000002,-0.0264
Guido Cannetti,BW,4,-2.8599999999999994,0.5670000000000002,-0.1978,-0.005400000000000002,-0.0264
Vito Petrino,LHW,1,-2.7355,-1.4936000000000003,0.3565,0.3819,-0.0242
Anton Turkalj,LHW,2,-5.1445,-2.3456,0.5275000000000001,0.1719,-0.0242
Karl Williams,HW,1,1.120099999999999,-1.5602000000000005,0.6847,0.45810000000000006,0.0442
Lukasz Brzeski,HW,2,0.8871000000000002,0.7067999999999994,-0.1493,-0.0749,-0.0228
Raphael Assuncao ,BW,3,-4.878,-1.3239999999999998,0.16920000000000002,0.0906,-0.0264
Davey Grant,BW,5,3.539999999999999,1.6239999999999997,-0.2118,-0.0824,0.0206
Sedriques Dumas,MW,1,-4.2879000000000005,-1.5027,-0.15460000000000002,-0.1067,-0.0155
Josh Fremd,MW,2,-3.8589,-1.2197,-0.1496,0.0233,-0.0155
Victor Henry,BW,3,7.131,4.393,-0.24680000000000002,-0.0984,-0.0264
Tony Gravely,BW,6,-0.5809999999999995,-0.3620000000000001,0.6621999999999999,0.2526,0.023600000000000003
Tyson Nam,FLW,3,0.8971999999999998,-0.19959999999999978,-0.2843,-0.104,0.011300000000000001
Bruno Silva,FLW,7,0.2281999999999993,0.37939999999999996,-0.01429999999999998,-0.041999999999999996,0.0953
Carlston Harris,WW,4,1.148200000000001,-0.17879999999999985,0.4064,0.11650000000000002,0.018400000000000003
Jared Gooden,WW,4,0.49820000000000064,-0.21679999999999922,-0.22060000000000002,-0.0645,-0.0005999999999999998
