Fighter 1,Fighter 2,Winner,Weight Class,Venue,Title Fight,Main Event,F1 Lay Pray,F2 Lay Pray,Winner LP,F1 Failed LP,F2 Failed LP,Decisions,Stinker,F1 Frozen,F2 Frozen,Potential Robbery,Stand Up,F1 Active,F2 Active,Comeback Win,BangFest,F1 Head Hunter,F2 Head Hunter,F1 Leg Kicker,F2 Leg Kicker,Paul Craig,Massacre,F1 Beatdown,F2 Beatdown,Submission,KO
Marlon Vera,Cory Sandhagen,F2,BW,"San Antonio, TX",0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,1,0,0
Nate Landwehr,Austin Lingo ,F1,FW,"San Antonio, TX",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
Chidi Njokuani,Albert Duraev,F2,MW,"San Antonio, TX",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0
Daniel Pineda,Tucker Lutz,F1,FW,"San Antonio, TX",0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
Steven Peterson,Lucas Alexander,F2,FW,"San Antonio, TX",0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0
Trevin Giles,Preston Parsons,F1,WW,"San Antonio, TX",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
CJ Vegara,Daniel Lacerda,F1,FYW,"San Antonio, TX",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1
Victor Altamirano,Vinicius Salvador,F1,FYW,"San Antonio, TX",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
Leon Edwards,Kamaru Usman,F1,WW,"London, England",1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Justin Gaethje,Rafael Fiziev,F1,LW,"London, England",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Gunnar Nelson,Bryan Barbarena,F1,WW,"London, England",0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
Marvin Vettori,Roman Dolidze ,F1,MW,"London, England",0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0
Jack Shore,Makwan Amirkhani,F1,FW,"London, England",0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
Chris Duncan ,Omar Morales,F1,LW,"London, England",0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Sam Patterson,Yanal Ashmoz,F2,LW,"London, England",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1
Muhammad Mokaev,Jafael Filho ,F1,FYW,"London, England",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
Lerone Murphy,Gabriel Santos,F1,FW,"London, England",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Chris Duncan,Dusko Todorovic,F1,MW,"London, England",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1
Jake Hadley,Malcom Gordon,F1,FYW,"London, England",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1
Jai Herbert,Ludovit Klein,Draw,LW,"London, England",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Petr Yan,Merab Dvalishvili,F2,BW,"Las Vegas, NV",0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,1,0,0
Alexander Volkov,Alexander Romanov,F1,HW,"Las Vegas, NV",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1
Nikita Krylov,Ryan Spann,F1,LHW,"Las Vegas, NV",0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
Said Nurmagomedov,Jonathan Martinez,F2,BW,"Las Vegas, NV",0,0,0,1,1,0,0,1,1,0,0,1,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0
Mario Bautista,Guido Cannetti,F1,BW,"Las Vegas, NV",0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
Vito Petrino,Anton Turkalj,F1,LHW,"Las Vegas, NV",0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Karl Williams,Lukasz Brzeski,F1,HW,"Las Vegas, NV",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Raphael Assuncao ,Davey Grant,F2,BW,"Las Vegas, NV",0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0
Sedriques Dumas,Josh Fremd,F2,MW,"Las Vegas, NV",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
Victor Henry,Tony Gravely,F1,BW,"Las Vegas, NV",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
Tyson Nam,Bruno Silva,F2,FYW,"Las Vegas, NV",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0
Carlston Harris,Jared Gooden,F1,WW,"Las Vegas, NV",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Jon Jones,Ciryl Gane,F1,HW,"Las Vegas, NV",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0
Geoff Neal,Shavkat Rakhmonov,F2,WW,"Las Vegas, NV",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,1,0
Mateusz Gamrot,Jalin Turner,F1,LW,"Las Vegas, NV",0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0
Bo Nickal,Jamie Pickett,F1,MW,"Las Vegas, NV",0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Cody Garbrandt,Trevin Jones,F1,BW,"Las Vegas, NV",0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Derek Brunson,Dricus Du Plessis,F2,MW,"Las Vegas, NV",0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
Julian Marquez,Marc-Andre Barriault,F2,MW,"Las Vegas, NV",0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,0,0,0,0,0,0,1
Ian Garry,Song Kenan,F1,WW,"Las Vegas, NV",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,1,0,0,1
Mana Martinez,Cory Saaiman,F2,BW,"Las Vegas, NV",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,1,0,0
Damon Blackshear,Farid Basharat,F2,BW,"Las Vegas, NV",0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
Esteban Ribovics ,Loik Radzhabov,F2,LW,"Las Vegas, NV",0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
Andre Muniz,Brendan Allen,F2,MW,Apex,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0
Augusto Sakai,Don'Tale Mayes,F1,HW,Apex,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
Mike Malott,Yohann Lainesse,F1,WW,Apex,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
Erick Gonzalez,Trevor Peek,F2,LW,Apex,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1
Jordan Leavitt,Victor Martinez,F1,LW,Apex,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1
Ode Osbourne,Charles Johnson,F1,FYW,Apex,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0
Joe Solecki ,Carl Deaton,F1,LW,Apex,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
Rafael Alves,Nurullo Aliev,F1,LW,Apex,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
Jordan Wright ,Zach Pauga ,F2,LHW,Apex,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
Josh Parisian,Jamal Pogues,F2,HW,Apex,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0
William Knight,Marcin Prachnio,F2,LHW,Apex,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0
Jim Miller,Alexander Hernandez,F2,LW,Apex,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,1,1,0,0,0,0,1,0,0
Nazim Sadykhov,Evan Elder,F1,LW,Apex,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0
