Name,Height,Reach,Stance
Tom Aaron,--,--,
Danny Abbadi,"5' 11""",--,Orthodox
Nariman Abbasov,"5' 8""","66.0""",Orthodox
David Abbott,"6' 0""",--,Switch
Hamdy Abdelwahab,"6' 2""","72.0""",Southpaw
Shamil Abdurakhimov,"6' 3""","76.0""",Orthodox
Hiroyuki Abe,"5' 6""",--,Orthodox
Daichi Abe,"5' 11""","71.0""",Orthodox
Papy Abedi,"5' 11""",--,Southpaw
Ricardo Abreu,"5' 11""",--,Orthodox
Klidson Abreu,"6' 0""","74.0""",Orthodox
Daniel Acacio,"5' 8""",--,Orthodox
John Adajar,"5' 9""","75.0""",Orthodox
Scott Adams,"6' 0""",--,Southpaw
Juan Adams,"6' 5""","80.0""",Orthodox
Anthony Adams,"6' 1""","76.0""",Orthodox
Zarrukh Adashev,"5' 5""","65.0""",Southpaw
Israel Adesanya,"6' 4""","80.0""",Switch
Sam Adkins,"6' 3""",--,Orthodox
Nick Agallar,"5' 8""",--,Orthodox
Mariya Agapova,"5' 6""","68.0""",Southpaw
Marcelo Aguiar,"5' 10""",--,Orthodox
Fabio Aguiar,"6' 0""",--,
Edwin Aguilar,"5' 10""",--,
Jessica Aguilar,"5' 3""","63.0""",Orthodox
Kevin Aguilar,"5' 7""","73.0""",Orthodox
Jesus Aguilar,"5' 4""","62.0""",Orthodox
Christian Aguilera,"5' 9""","72.0""",Switch
Nick Aguirre,"5' 9""","74.0""",Southpaw
Mike Aina,"5' 9""",--,Orthodox
Ashiek Ajim,"5' 8""","71.0""",Switch
Hitomi Akano,"5' 4""",--,Southpaw
Omari Akhmedov,"6' 0""","73.0""",Orthodox
Yoshihiro Akiyama,"5' 10""","75.0""",Orthodox
Rostem Akman,"5' 10""","72.0""",Switch
Razak Al-Hassan,"6' 2""",--,Orthodox
Mostapha Al-Turk,"6' 2""","77.0""",Orthodox
Herdem Alacabek,"6' 2""","75.0""",Orthodox
Javi Alanis,"5' 6""",--,
Alatengheili,"5' 5""","66.0""",Orthodox
Amir Albazi,"5' 5""","68.0""",Orthodox
Brett Albee,--,--,
John Albert,"5' 8""","68.0""",Orthodox
Junior Albini,"6' 3""","74.0""",Orthodox
Wes Albritton,"5' 10""",--,Orthodox
Aleksandra Albu,"5' 2""","63.0""",Orthodox
Israel Albuquerque,--,--,Orthodox
Juan Alcain,--,--,
Iuri Alcantara,"5' 9""","71.0""",Southpaw
Ildemar Alcantara,"6' 2""","78.0""",Orthodox
Alfonso Alcarez,"5' 3""",--,
Gilbert Aldana,"6' 1""",--,Orthodox
Irene Aldana,"5' 9""","68.0""",Orthodox
Hector Aldana,"5' 11""","72.0""",Orthodox
Jose Alday,"5' 7""","68.0""",Orthodox
Jose Aldo,"5' 7""","70.0""",Orthodox
JJ Aldrich,"5' 5""","67.0""",Southpaw
Irina Alekseeva,"5' 8""",--,
Jim Alers,"5' 9""","71.0""",Orthodox
John Alessio,"5' 10""","72.0""",Orthodox
Houston Alexander,"6' 0""","72.0""",Orthodox
Kenneth Alexander,"5' 9""",--,Orthodox
Lucas Alexander,"5' 11""","73.0""",Orthodox
Marcio Alexandre Junior,"6' 0""","75.0""",Southpaw
Olaf Alfonso,"6' 2""",--,Orthodox
Pablo Alfonso,"5' 8""",--,
Levi Alford,--,--,
Bill Algeo,"6' 0""","73.0""",Switch
Royce Alger,"5' 10""",--,Orthodox
Amir Aliakbari,"6' 3""",--,
Sultan Aliev,"5' 11""","74.0""",Orthodox
Nurullo Aliev,"5' 10""","72.0""",Orthodox
Ikram Aliskerov,"6' 0""","76.0""",Southpaw
Leon Aliu,"6' 0""","74.0""",Orthodox
John Allan,"6' 1""","75.0""",Orthodox
George Allen,"6' 2""",--,Open Stance
Arnold Allen,"5' 8""","70.0""",Southpaw
Brendan Allen,"6' 2""","75.0""",Orthodox
Ben Alloway,"5' 11""","76.0""",Orthodox
Ricardo Almeida,"6' 0""","74.0""",Orthodox
Magno Almeida,"6' 0""",--,
Thomas Almeida,"5' 7""","70.0""",Southpaw
Ericka Almeida,"5' 6""",--,Orthodox
Estefani Almeida,"5' 4""",--,Orthodox
Jailton Almeida,"6' 3""","79.0""",Orthodox
Lucas Almeida,"5' 11""","71.0""",Orthodox
Mauricio Alonso,"6' 2""",--,
Sarah Alpar,"5' 4""","63.0""",Southpaw
Ali AlQaisi,"5' 6""","68.0""",Orthodox
Rico Altamirano,"5' 10""",--,
Victor Altamirano,"5' 8""","70.0""",Switch
Mike Altman,"5' 10""",--,Orthodox
Sean Alvarez,"6' 0""",--,Orthodox
Eddie Alvarez,"5' 9""","69.0""",Orthodox
Jaime Alvarez,"5' 8""","69.0""",Orthodox
Joel Alvarez,"6' 3""","77.0""",Orthodox
Thiago Alves,"5' 9""","70.0""",Orthodox
Anthony Alves,--,--,
Amilcar Alves,"6' 0""",--,Southpaw
Warlley Alves,"5' 11""","72.0""",Orthodox
Rafael Alves,"5' 8""","68.0""",Orthodox
Sam Alvey,"6' 2""","75.0""",Southpaw
Andre Amado,"6' 0""",--,Orthodox
Adlan Amagov,"6' 2""","76.0""",Orthodox
Maiara Amanajas dos Santos,"5' 5""",--,Southpaw
Rayanne Amanda,"5' 2""","62.0""",Orthodox
Chris Amarante,--,--,
Jimmy Ambriz,"6' 2""",--,Southpaw
JJ Ambrose,"5' 10""",--,Orthodox
Alen Amedovski,"5' 10""","74.0""",Orthodox
Makwan Amirkhani,"5' 10""","72.0""",Southpaw
Jaqueline Amorim,"5' 3""",--,
Bertrand Amoussou,"5' 8""",--,Orthodox
Karl Amoussou,"5' 11""",--,Orthodox
Eryk Anders,"6' 1""","75.0""",Southpaw
Matt Andersen,"6' 2""",--,Southpaw
Andy Anderson,"5' 6""",--,
Lowell Anderson,"5' 6""",--,Orthodox
Corey Anderson,"6' 3""","79.0""",Orthodox
Derek Anderson,"6' 0""",--,
Megan Anderson,"6' 0""","72.0""",Orthodox
Tatsuya Ando,--,--,
Alex Andrade,"5' 11""",--,Orthodox
Jessica Andrade,"5' 1""","62.0""",Orthodox
Viscardi Andrade,"5' 11""","75.0""",Orthodox
Jermaine Andre,"5' 7""",--,Orthodox
Juan Andres Luna,"5' 7""","72.0""",Orthodox
Dylan Andrews,"6' 1""","74.0""",Switch
Reese Andy,"6' 0""",--,Orthodox
Angga,"5' 7""","68.0""",Orthodox
Julius Anglickas,"6' 3""",--,Orthodox
Collin Anglin,"5' 9""","71.0""",Orthodox
Chad Anheliger,"5' 6""","64.0""",Orthodox
Yoji Anjo,"5' 11""",--,Orthodox
Magomed Ankalaev,"6' 3""","75.0""",Orthodox
Gadzhimurad Antigulov,"5' 11""","70.0""",Orthodox
Adam Antolin,"5' 5""","63.0""",Orthodox
Angelo Antonio,--,--,Orthodox
Azunna Anyanwu,"6' 1""",--,Orthodox
Shinsho Anzai,"5' 7""","70.0""",Orthodox
Shinya Aoki,"5' 11""",--,Southpaw
Aoriqileng,"5' 7""","69.0""",Orthodox
Josh Appelt,"5' 10""",--,Southpaw
Erik Apple,"6' 0""",--,Orthodox
Kenji Arai,"5' 10""",--,Southpaw
Romie Aram,"5' 10""",--,Orthodox
Felipe Arantes,"5' 8""","73.0""",Orthodox
Igor Araujo,"6' 1""","77.0""",Orthodox
Viviane Araujo,"5' 4""","68.0""",Orthodox
Julio Arce,"5' 7""","70.0""",Southpaw
Art Arciniega,"5' 8""",--,
Tristan Arenal,--,--,
Dan Argueta,"5' 7""","68.0""",Southpaw
Reza Arianto,--,--,
Hashem Arkhagha,"6' 2""","75.0""",Orthodox
Andrei Arlovski,"6' 3""","77.0""",Orthodox
Garrett Armfield,"5' 6""","70.0""",Orthodox
Joey Armstrong,--,--,
Austin Arnett,"6' 0""","72.0""",Orthodox
Ricardo Arona,"5' 11""",--,Orthodox
Chalid Arrab,"5' 11""",--,Orthodox
Akbarh Arreola,"5' 10""","71.0""",Southpaw
Matt Arroyo,"5' 10""","72.0""",Orthodox
Antonio Arroyo,"6' 3""","73.0""",Orthodox
Gilles Arsene,"5' 9""",--,Southpaw
Veta Arteaga,"5' 7""",--,
Cesar Arzamendia,"5' 11""",--,Orthodox
Teddy Ash,"6' 1""","73.0""",Switch
Arman Ashimov,"5' 6""",--,
Yanal Ashmoz,"5' 9""","68.0""",Orthodox
Asjabharan,"5' 6""",--,
Askar Askar,"5' 7""","69.0""",Orthodox
Askar Askarov,"5' 6""","67.0""",Orthodox
Cyril Asker,"6' 0""","74.0""",Orthodox
Khusein Askhabov,"5' 8""","69.0""",Orthodox
Scott Askham,"6' 3""","75.0""",Southpaw
Ben Askren,"5' 11""","73.0""",Orthodox
Ibo Aslan,"6' 3""",--,
Tom Aspinall,"6' 5""","78.0""",Orthodox
Bruno Assis,"6' 2""",--,Orthodox
Junior Assuncao,"5' 9""","72.0""",Orthodox
Raphael Assuncao,"5' 5""","66.0""",Orthodox
Bazigit Atajev,"6' 1""",--,Orthodox
Rich Attonito,"5' 10""","72.0""",Orthodox
Olivier Aubin-Mercier,"5' 9""","70.0""",Southpaw
Pat Audinwood,"6' 0""",--,Orthodox
Jose Augusto,"6' 3""",--,
Marcus Aurelio,"5' 10""","74.0""",Orthodox
David Avellan,"5' 9""",--,Orthodox
Blas Avena,"6' 0""","74.0""",Orthodox
Levi Avera,"6' 1""",--,
Anthony Avila,"5' 7""",--,
Chris Avila,"5' 10""",--,Orthodox
Julia Avila,"5' 7""","68.0""",Orthodox
Saad Awad,"5' 11""",--,
Javy Ayala,"6' 1""",--,
Jessin Ayari,"6' 0""","73.0""",Orthodox
Abu Azaitar,"5' 9""","76.0""",Orthodox
Ottman Azaitar,"5' 8""","71.0""",Switch
Luiz Azeredo,"5' 9""",--,Orthodox
Luciano Azevedo,"6' 3""",--,Orthodox
Hunter Azure,"5' 8""","69.0""",Orthodox
Niklas Backstrom,"6' 1""",--,Orthodox
Seth Baczynski,"6' 3""","75.0""",Orthodox
Abdul Azeem Badakhshi,--,--,
Ryan Bader,"6' 2""","74.0""",Orthodox
Izabela Badurek,"5' 5""",--,Orthodox
Miguel Baeza,"6' 2""","74.0""",Orthodox
Ali Bagautinov,"5' 4""","65.0""",Orthodox
Mehdi Baghdad,"6' 1""",--,Orthodox
Melsik Baghdasaryan,"5' 9""","70.0""",Southpaw
Siyar Bahadurzada,"5' 11""","73.0""",Orthodox
Ignacio Bahamondes,"6' 3""","75.0""",Orthodox
Shamar Bailey,"5' 9""","75.0""",Southpaw
Jordan Bailey,"5' 9""",--,
Scott Baker,"6' 0""",--,
Bryan Baker,"6' 3""",--,Orthodox
Jin Bala,"5' 9""",--,
Balajin,"5' 9""","72.0""",Orthodox
Oluwale Bamgbose,"5' 11""","78.0""",Switch
Stephen Banaszak,"6' 0""",--,
Marcin Bandel,"5' 10""",--,Orthodox
Humberto Bandenay,"5' 11""","71.0""",Southpaw
Tae Hyun Bang,"5' 9""","71.0""",Switch
Yohan Banks,--,--,
Antonio Banuelos,"5' 5""","63.0""",Orthodox
Renan Barao,"5' 6""","70.0""",Orthodox
Junior Barata,"5' 10""",--,Orthodox
Maycee Barber,"5' 5""","65.0""",Switch
Bryan Barbarena,"6' 0""","72.0""",Southpaw
Edson Barboza,"5' 11""","75.0""",Orthodox
Raoni Barcelos,"5' 7""","67.0""",Orthodox
Daniel Barez,"5' 6""","66.0""",Orthodox
Luke Barnatt,"6' 6""","77.0""",Orthodox
James Barnes,"5' 8""","71.0""",Orthodox
Nick Barnes,"5' 11""",--,
Shonte Barnes,"5' 11""","76.0""",Southpaw
Josh Barnett,"6' 3""","78.0""",Orthodox
Chris Barnett,"5' 9""","75.0""",Orthodox
Chris Barnhizer,--,--,
David Baron,"5' 6""",--,Switch
Phil Baroni,"5' 9""","72.0""",Orthodox
Dan Barrera,"5' 9""",--,Orthodox
Carlos Barreto,"6' 4""",--,Orthodox
Jose Barreto,--,--,Southpaw
Peter Barrett,"5' 10""","73.0""",Southpaw
Marc-Andre Barriault,"6' 1""","74.0""",Orthodox
David Barrios,"5' 6""",--,
Alexandre Barros,"5' 9""",--,Southpaw
Ricardo Barros,"6' 1""",--,
Francimar Barroso,"6' 1""","75.0""",Orthodox
Pat Barry,"5' 11""","74.0""",Orthodox
Dean Barry,"5' 10""","72.0""",Orthodox
Enrique Barzola,"5' 7""","70.0""",Orthodox
Javid Basharat,"5' 9""","69.0""",Orthodox
Farid Basharat,"5' 8""","71.0""",Orthodox
Stephen Bass,"5' 9""",--,Orthodox
Sean Bassett,--,--,
Ryan Bastianelli,"5' 5""",--,
Shayna Baszler,"5' 7""",--,Orthodox
Bahatebole Batebolati,--,--,
Michel Batista,"6' 3""",--,Orthodox
Bryan Battle,"6' 1""","77.0""",Orthodox
Alan Baudot,"6' 3""","79.0""",Orthodox
Mario Bautista,"5' 9""","69.0""",Switch
Chris Beal,"5' 7""","69.0""",Orthodox
Donovan Beard,"6' 2""","78.0""",Orthodox
Rudy Bears,"5' 11""",--,Southpaw
Salvador Becerra,"5' 9""",--,
Ariel Beck,"5' 6""","66.0""",Southpaw
Jeff Bedard,"5' 6""",--,Orthodox
Eric Bedard,"6' 2""",--,
Johnny Bedford,"5' 10""","71.0""",Orthodox
Rolando Bedoya,--,--,
Chase Beebe,"5' 7""","67.0""",Orthodox
Lyle Beerbohm,"5' 10""",--,Southpaw
Allan Begosso,"5' 5""","66.0""",Orthodox
Mirsad Bektic,"5' 8""","70.0""",Orthodox
Diana Belbita,"5' 7""","68.0""",Orthodox
Alan Belcher,"6' 2""","75.0""",Orthodox
Vitor Belfort,"6' 0""","74.0""",Southpaw
Rodolfo Bellato,"6' 3""","75.0""",Orthodox
Danilo Belluardo,"6' 0""","74.0""",Southpaw
Joey Beltran,"6' 1""","75.0""",Orthodox
Marco Beltran,"5' 8""","69.0""",Orthodox
Joseph Benavidez,"5' 4""","65.0""",Southpaw
Mike Bencic,"6' 0""",--,Orthodox
Dave Beneteau,"6' 2""",--,Orthodox
