Name,Weight Class,Height,Reach,Stance,Total Fights,Wins,Losses,Strikes Thrown Per Minute,Sig Strikes Per Minute,Sig Strikes Absorbed per Minute,KD/Min,Knockdowns Suffered per Minute,Cntrl Proportion,Time Controlled,TDL/Min,Takedowns Suffered per Minute,TDA/Min,Takedowns Faced per Minute,TD Accuracy,Opp TD Accuracy,Head Strikes Per Minute,Body Strikes Per Minute,Leg Strikes Per Minute,Headstrikes Suffered per Minute,Bodystrikes Suffered per Minute,Legstrikes Suffered per Minute,,,,,,Decision Losses,Decision Wins,KO/TKO Wins,KO/TKO Losses,Submission Losses,Submission Wins
Max Holloway,FW,"5' 11""","69.0""",Orthodox,4,3,1,17.790,9.490,5.670,0.000,0.000,0.076,244,0.030,0.010,0.090,0.070,0.333333333,0.142857143,5.440,2.670,1.380,3.770,0.770,1.130,,,,,,1,3,0,0,0,0
Arnold Allen,FW,"5' 8""","70.0""",Southpaw,4,3,1,9.416,3.649,4.656,0.021,0.000,0.131,156,0.042,0.000,0.105,0.021,0.4,0,2.663,0.545,0.440,2.454,1.258,0.944,,,,,,1,1,2,0,0,0
Edson Barboza,FW,"5' 11""","75.0""",Orthodox,4,2,2,9.213,4.241,4.872,0.050,0.076,0.002,771,0.000,0.101,0.000,0.151,No TD Att,0.666666667,2.070,0.883,1.287,2.928,1.136,0.808,,,,,,1,0,2,1,0,0
Billy Quarantillo,FW,"5' 10""","70.0""",Orthodox,4,2,2,22.095,9.300,8.018,0.025,0.050,0.322,446,0.126,0.050,0.679,0.151,0.185185185,0.333333333,7.013,1.659,0.628,5.455,1.382,1.181,,,,,,1,0,2,1,0,0
Dustin Jacoby,LHW,"6' 3""","76.0""",Orthodox,8,5,3,14.592,6.419,4.850,0.010,0.031,0.094,419,0.031,0.135,0.156,0.312,0.2,0.433333333,4.362,0.914,1.142,3.240,0.717,0.893,,,,,,2,3,2,0,0,0
Azamat Murzakanov,LHW,"5' 10""","71.0""",Southpaw,3,3,0,8.830,4.698,4.752,0.081,0.000,0.124,226,0.054,0.027,0.297,0.162,0.181818182,0.166666667,3.159,1.242,0.297,2.673,1.026,1.053,,,,,,,1,2,0,0,0
Tanner Boser,HW,"6' 2""","75.0""",Orthodox,4,1,3,11.641,3.662,2.146,0.025,0.000,0.049,968,0.000,0.177,0.000,0.404,No TD Att,0.4375,2.197,0.859,0.606,1.742,0.354,0.051,,,,,,2,0,1,1,0,0
Ion Cutelaba,LHW,"6' 1""","75.0""",Southpaw,6,2,4,10.612,4.059,3.243,0.023,0.023,0.460,418,0.544,0.068,0.998,0.249,0.545454545,0.272727273,3.605,0.249,0.204,2.517,0.295,0.431,,,,,,,1,1,1,2,0
Pedro Munhoz,BW,"5' 6""","65.0""",Orthodox,5,2,3,11.401,4.828,5.635,0.029,0.000,0.048,16,0.000,0.029,0.029,0.205,0,0.142857143,1.981,0.558,2.289,3.595,0.954,1.086,,,,,,2,2,0,0,0,0
Chris Gutierrez,BW,"5' 9""","67.0""",Orthodox,5,4,1,9.747,5.368,3.518,0.055,0.018,0.055,446,0.018,0.055,0.073,0.183,0.25,0.3,2.492,0.715,2.162,1.429,1.008,1.081,,,,,,1,2,2,0,0,0
