Name,Weight Class,Total Fights,Avg Time Elapsed,Wins,Loss,Decision Wins,Dec Losses,KO/TKO Wins,KO/TKO Loss,Sub Win,Sub Loss,Dec%,KO%,Sub%,Finish%,Loss Dec%,Loss KO%,Loss Sub%,Loss Finish%,Strikes Thrown Per Minute,Sig Strikes Per Minute,TDA/Min,TDL/Min,KD/Min,Strikes Thrown Per Minute Difference,Sig Strikes Per Minute Difference,TDA Per Minute Difference,TDL Per Minute Difference,KD Per Minute Difference,Sig Strikes Absorbed per Minute,Takedowns Faced per Minute,Takedowns Suffered per Minute
Max Holloway,FW,4,25.0,3,1,3,1,0,0,0,0,1,0,0,0,1,0,0,0,17.79,9.49,0.09,0.03,0.0,6.7231,5.1582,-0.1737,-0.07,-0.0191,5.67,0.07,0.01
Arnold Allen,FW,4,11.92,3,1,1,1,2,0,0,0,0.33,0.67,0,0.67,1,0,0,0,9.416,3.649,0.105,0.042,0.021,-1.6509,-0.6828,-0.1587,-0.058,0.0019,4.655714785040196,0.02097168822090178,0.0
Edson Barboza,FW,4,9.9,2,2,0,1,2,1,0,0,0,1,0,1,0.5,0.5,0,0.5,9.213,4.241,0.0,0.0,0.05,-1.8539,-0.0908,-0.2637,-0.1,0.0309,4.871687000420698,0.15145140933950357,0.10096760622633572
Billy Quarantillo,FW,4,9.95,2,2,0,1,2,1,0,0,0,1,0,1,0.5,0.5,0,0.5,22.095,9.3,0.679,0.126,0.025,11.0281,4.9682,0.4153,0.026,0.0059,8.018433179723502,0.1508169250104734,0.050272308336824466
Dustin Jacoby,LHW,8,12.04,5,3,3,2,2,0,0,0,0.6,0.4,0,0.4,0.67,0,0,0,14.592,6.419,0.156,0.031,0.01,4.9235,2.3254,-0.0875,-0.0541,-0.0142,4.850268305348797,0.31158040505452655,0.13501817552362816
Azamat Murzakanov,LHW,3,12.34,3,0,1,0,2,0,0,0,0.33,0.67,0,0.67,No Dec Loss,No KO Loss,No Sub Loss,No Finish Loss,8.83,4.698,0.297,0.054,0.081,-0.8385,0.6044,0.0535,-0.0311,0.0568,4.752475247524752,0.162016201620162,0.027002700270027002
Tanner Boser,HW,4,9.9,1,3,0,2,1,1,0,0,0,1,0,1,0.67,0.33,0,0.33,11.641,3.662,0.0,0.0,0.025,1.5611,-0.4312,-0.1823,-0.0749,0.0022,2.146464646464646,0.40404040404040403,0.17676767676767677
Ion Cutelaba,LHW,6,7.35,2,4,1,0,1,1,0,2,0.5,0.5,0,0.5,0,0.25,0.5,0.75,10.612,4.059,0.998,0.544,0.023,0.9435,-0.0346,0.7545,0.4589,-0.0012,3.2426303854875287,0.2494331065759637,0.06802721088435375
Pedro Munhoz,BW,5,13.63,2,3,2,2,0,0,0,0,1,0,0,0,0.67,0,0,0,11.401,4.828,0.029,0.0,0.029,0.488,0.554,-0.2618,-0.0984,0.0026,5.634629493763756,0.20542920029347028,0.0293470286133529
Chris Gutierrez,BW,5,10.92,4,1,2,1,2,0,0,0,0.5,0.5,0,0.5,1,0,0,0,9.747,5.368,0.073,0.018,0.055,-1.166,1.094,-0.2178,-0.0804,0.0286,3.517557251908397,0.183206106870229,0.0549618320610687
Clay Guida,LW,6,11.56,3,3,2,2,0,0,1,1,0.67,0,0.33,0.33,0.67,0,0.33,0.33,12.672,3.907,0.476,0.13,0.0,2.2595,-0.1772,0.1718,0.0185,-0.0222,5.824123017779914,0.028832292167227297,0.0
