Name,Weight Class,Total Fights,Avg Time Elapsed,Wins,Loss,Decision Wins,Dec Losses,KO/TKO Wins,KO/TKO Loss,Sub Win,Sub Loss,Dec%,KO%,Sub%,Finish%,Loss Dec%,Loss KO%,Loss Sub%,Loss Finish%,Strikes Thrown Per Minute,Sig Strikes Per Minute,TDA/Min,TDL/Min,KD/Min,Strikes Thrown Per Minute Difference,Sig Strikes Per Minute Difference,TDA Per Minute Difference,TDL Per Minute Difference,KD Per Minute Difference,Sig Strikes Absorbed per Minute,Takedowns Faced per Minute,Takedowns Suffered per Minute
Max Holloway,FW,4,25,3,1,3,1,0,0,0,0,1,0,0,0,1,0,0,0,17.79,9.49,0.09,0.03,0.00,6.72,5.16,-0.17,-0.07,-0.02,5.67,0.07,0.01
Arnold Allen,FW,4,11.92,3,1,1,1,2,0,0,0,0.33,0.67,0,0.67,1,0,0,0,9.42,3.65,0.11,0.04,0.02,-1.65,-0.68,-0.16,-0.06,0.00,4.66,0.02,0.00
Edson Barboza,FW,4,9.9,2,2,0,1,2,1,0,0,0,1,0,1,0.5,0.5,0,0.5,9.21,4.24,0.00,0.00,0.05,-1.85,-0.09,-0.26,-0.10,0.03,4.87,0.15,0.10
Billy Quarantillo,FW,4,9.95,2,2,0,1,2,1,0,0,0,1,0,1,0.5,0.5,0,0.5,22.10,9.30,0.68,0.13,0.03,11.03,4.97,0.42,0.03,0.01,8.02,0.15,0.05
Dustin Jacoby,LHW,8,12.04,5,3,3,2,2,0,0,0,0.6,0.4,0,0.4,0.67,0,0,0,14.59,6.42,0.16,0.03,0.01,4.92,2.33,-0.09,-0.05,-0.01,4.85,0.31,0.14
Azamat Murzakanov,LHW,3,12.34,3,0,1,0,2,0,0,0,0.33,0.67,0,0.67,No Dec Loss,No KO Loss,No Sub Loss,No Finish Loss,8.83,4.70,0.30,0.05,0.08,-0.84,0.60,0.05,-0.03,0.06,4.75,0.16,0.03
Tanner Boser,HW,4,9.9,1,3,0,2,1,1,0,0,0,1,0,1,0.67,0.33,0,0.33,11.64,3.66,0.00,0.00,0.03,1.56,-0.43,-0.18,-0.07,0.00,2.15,0.40,0.18
Ion Cutelaba,LHW,6,7.35,2,4,1,0,1,1,0,2,0.5,0.5,0,0.5,0,0.25,0.5,0.75,10.61,4.06,1.00,0.54,0.02,0.94,-0.03,0.75,0.46,0.00,3.24,0.25,0.07
Pedro Munhoz,BW,5,13.63,2,3,2,2,0,0,0,0,1,0,0,0,0.67,0,0,0,11.40,4.83,0.03,0.00,0.03,0.49,0.55,-0.26,-0.10,0.00,5.63,0.21,0.03
Chris Gutierrez,BW,5,10.92,4,1,2,1,2,0,0,0,0.5,0.5,0,0.5,1,0,0,0,9.75,5.37,0.07,0.02,0.06,-1.17,1.09,-0.22,-0.08,0.03,3.52,0.18,0.05
Clay Guida,LW,6,11.56,3,3,2,2,0,0,1,1,0.67,0,0.33,0.33,0.67,0,0.33,0.33,12.67,3.91,0.48,0.13,0.00,2.26,-0.18,0.17,0.02,-0.02,5.82,0.03,0.00
Rafa Garcia,LW,6,14.14,3,3,2,3,0,0,1,0,0.67,0,0.33,0.33,1,0,0,0,12.37,4.52,0.50,0.20,0.00,1.95,0.43,0.19,0.09,-0.02,4.40,0.20,0.02
Bill Algeo,FW,5,11.7,3,2,1,2,1,0,1,0,0.33,0.33,0.33,0.67,1,0,0,0,14.29,5.27,0.14,0.07,0.02,3.22,0.93,-0.13,-0.03,0.00,3.56,0.41,0.22
TJ Brown,FW,5,13.07,3,2,2,1,0,0,1,1,0.67,0,0.33,0.33,0.5,0,0.5,0.5,10.90,3.86,0.35,0.18,0.00,-0.17,-0.48,0.09,0.08,-0.02,3.66,0.18,0.12
Brandon Royval,FLW,4,6.54,3,1,1,0,1,0,1,1,0.33,0.33,0.33,0.67,0,0,1,1,12.01,3.21,0.04,0.04,0.04,2.40,-0.39,-0.25,-0.07,0.01,2.45,0.57,0.42
Matheus Nicolau,FLW,5,10.78,4,1,3,0,1,1,0,0,0.75,0.25,0,0.25,0,1,0,1,8.48,3.51,0.24,0.07,0.06,-1.13,-0.10,-0.04,-0.03,0.03,3.77,0.22,0.02
Zak Cummings,LHW,1,14.22,1,0,0,0,1,0,0,0,0,1,0,1,No Dec Loss,No KO Loss,No Sub Loss,No Finish Loss,13.29,7.03,0.00,0.00,0.21,3.63,2.94,-0.24,-0.09,0.19,3.80,0.07,0.00
Ed Herman,LHW,2,14.61,0,2,0,1,0,1,0,0,No Dec Wins,No KO Wins,No Sub Wins,No Finish Wins,0.5,0.5,0,0.5,9.17,3.25,0.03,0.00,0.00,-0.50,-0.84,-0.21,-0.09,-0.02,6.61,0.03,0.03
Lando Vannata,FW,3,10.84,1,2,1,1,0,0,0,1,1,0,0,0,0.5,0,0.5,0.5,8.55,4.27,0.15,0.06,0.00,-2.52,-0.06,-0.11,-0.04,-0.02,3.50,0.65,0.09
Daniel Zellhuber,LW,2,15,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,13.43,4.33,0.03,0.00,0.03,3.02,0.25,-0.27,-0.11,0.01,4.07,0.40,0.03
Aaron Phillips,BW,1,15,0,1,0,1,0,0,0,0,No Dec Wins,No KO Wins,No Sub Wins,No Finish Wins,1,0,0,0,6.93,1.13,0.27,0.07,0.00,-3.98,-3.14,-0.02,-0.03,-0.03,4.20,0.00,0.00
Gaston Bolanos,BW,1,15,1,0,1,0,0,0,0,0,1,0,0,0,No Dec Loss,No KO Loss,No Sub Loss,No Finish Loss,9.00,4.20,0.00,0.00,0.00,-1.91,-0.07,-0.29,-0.10,-0.03,1.13,0.27,0.07
Alex Pereira,MW,5,10.85,4,1,1,0,3,1,0,0,0.25,0.75,0,0.75,0,1,0,1,11.26,5.23,0.02,0.02,0.04,1.10,1.23,-0.26,-0.09,0.02,3.76,0.35,0.09
