Date,Fighter 1,Fighter 2,Winner,Weight Class,Venue,Title Fight,Main Event,F1 Lay Pray,F2 Lay Pray,Winner LP,F1 Failed LP,F2 Failed LP,Decision,Stinker,F1 Frozen,F2 Frozen,Potential Robbery,Stand Up,F1 Active,F2 Active,Comeback Win,BangFest,F1 Head Hunter,F2 Head Hunter,F1 Leg Kicker,F2 Leg Kicker,Paul Craig,Massacre,F1 Beatdown,F2 Beatdown,Time Elapsed,F1 TDA,F1 TDL,F1 Control Time,F2 TDA,F2 TDL,F2 Control Time,F1 Total Strikes,F1 Sig Strikes,F1 Head Strike,F1 Body Strike,F1 Leg Strike,F2 Total Strikes,F2 Sig Strikes,F2 Head Strike,F2 Body Strike,F2 Leg Strike,F1 KD,F2 KD,F1 Strike Acc%,F1 TD Acc%,F1 HS%,F1 BS%,F1 LS%,F1 Strike/Sec,F1 Sig Strike/Sec,F2 Strike Acc%,F2 TD Acc%,F2 HS%,F2 BS%,F2 LS%,F2 Strike/Sec,F2 Sig Strike/Sec,F1 Strike Diff,F1 Sig Strike Diff,F2 Strike Diff,F2 Sig Strike Diff,Submission,KO,Method of Victory ,Gender
3/25/2023,Marlon Vera,Cory Sandhagen,F2,BW,"San Antonio, TX",0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,1,1500,1,0,9,12,3,428,177,58,28,13,17,378,128,84,16,28,0,0,0.328,0,0.483,0.224,0.293,0.118,0.039,0.339,0.25,0.656,0.125,0.219,0.252,0.085,-201,-70,201,70,0,0,SD,M
3/25/2023,Nate Landwehr,Austin Lingo ,F1,FW,"San Antonio, TX",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,551,2,1,24,0,0,0,160,64,36,9,19,148,48,28,17,3,0,0,0.4,0.5,0.563,0.141,0.297,0.107,0.043,0.324,No Takedown Attempted,0.219,0.133,0.023,0.099,0.032,12,16,-12,-16,1,0,RNC,M
3/25/2023,Chidi Njokuani,Albert Duraev,F2,MW,"San Antonio, TX",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,900,0,0,0,3,2,242,104,40,18,15,7,159,45,21,2,22,0,0,0.385,No Takedown Attempted,0.45,0.375,0.175,0.069,0.027,0.283,0.667,0.164,0.016,0.172,0.106,0.03,-55,-5,55,5,0,0,SD,M
3/25/2023,Daniel Pineda,Tucker Lutz,F1,FW,"San Antonio, TX",0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,470,2,1,140,4,0,87,66,24,10,4,10,84,28,17,8,3,1,0,0.364,0.5,0.417,0.167,0.417,0.044,0.016,0.333,0,0.133,0.063,0.023,0.056,0.019,-18,-4,18,4,1,0,Guillotine,M
3/25/2023,Steven Peterson,Lucas Alexander,F2,FW,"San Antonio, TX",0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,900,4,0,31,0,0,55,102,26,8,9,9,159,85,43,20,22,0,1,0.255,0,0.308,0.346,0.346,0.068,0.017,0.535,No Takedown Attempted,0.336,0.156,0.172,0.106,0.057,-57,-59,57,59,0,0,UD,M
3/25/2023,Trevin Giles,Preston Parsons,F1,WW,"San Antonio, TX",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,900,1,0,254,11,3,316,129,55,51,4,0,130,42,24,6,12,0,0,0.426,0,0.927,0.073,0,0.086,0.037,0.323,0.273,0.188,0.047,0.094,0.087,0.028,-1,13,1,-13,0,0,SD,M
3/25/2023,CJ Vegara,Daniel Lacerda,F1,FYW,"San Antonio, TX",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,544,0,0,174,2,1,40,164,83,57,16,10,120,48,32,11,5,0,2,0.506,No Takedown Attempted,0.687,0.193,0.12,0.109,0.055,0.4,0.5,0.25,0.086,0.039,0.08,0.032,44,35,-44,-35,0,1,KO/TKO,M
3/25/2023,Victor Altamirano,Vinicius Salvador,F1,FYW,"San Antonio, TX",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,900,22,3,304,6,1,21,171,62,28,14,20,168,47,26,15,6,0,0,0.363,0.136,0.452,0.226,0.323,0.114,0.041,0.28,0.167,0.203,0.117,0.047,0.112,0.031,3,15,-3,-15,0,0,UD,M
3/18/2023,Leon Edwards,Kamaru Usman,F1,WW,"London, England",1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1500,1,0,0,15,4,303,164,120,34,36,50,232,87,57,24,6,0,0,0.732,0,0.283,0.3,0.417,0.109,0.08,0.375,0.267,0.445,0.188,0.047,0.155,0.058,-68,33,68,-33,0,0,MD,M
3/18/2023,Justin Gaethje,Rafael Fiziev,F1,LW,"London, England",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,900,3,1,5,0,0,0,174,103,81,14,8,169,97,38,52,7,0,0,0.592,0.333,0.786,0.136,0.078,0.116,0.069,0.574,No Takedown Attempted,0.297,0.406,0.055,0.113,0.065,5,6,-5,-6,0,0,MD,M
